category,source_file,source_column,output_column,frequency,aggregation,availability_rule,role,include,reason
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,global_solar_capacity_mw,global_solar_capacity_mw,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,global_wind_capacity_mw,global_wind_capacity_mw,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,rest_of_world_ev_sales_units,rest_of_world_ev_sales_units,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,rest_of_world_ev_stock_units,rest_of_world_ev_stock_units,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,usa_ev_sales_units,usa_ev_sales_units,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,usa_ev_stock_units,usa_ev_stock_units,annual,repeat_within_year,observation_year,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,australia_asx200_bhp,australia_asx200_bhp,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,australia_asx200_rio_tinto,australia_asx200_rio_tinto,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,canada_tsx_composite_capstone_copper,canada_tsx_composite_capstone_copper,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,canada_tsx_composite_first_quantum_minerals,canada_tsx_composite_first_quantum_minerals,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,canada_tsx_composite_hudbay_minerals,canada_tsx_composite_hudbay_minerals,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,canada_tsx_composite_lundin_mining,canada_tsx_composite_lundin_mining,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,canada_tsx_composite_teck_resources,canada_tsx_composite_teck_resources,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,china_csi300_jiangxi_copper,china_csi300_jiangxi_copper,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,germany_dax_aurubis,germany_dax_aurubis,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,hong_kong_hang_seng_zijin_mining,hong_kong_hang_seng_zijin_mining,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,poland_wig20_kghm,poland_wig20_kghm,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,uk_ftse100_antofagasta,uk_ftse100_antofagasta,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,uk_ftse100_glencore,uk_ftse100_glencore,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,usa_nyse_hecla_mining,usa_nyse_hecla_mining,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,usa_nyse_mp_materials,usa_nyse_mp_materials,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,usa_sp500_freeport_mcmoran,usa_sp500_freeport_mcmoran,monthly,as_is,native_month,feature,True,
equities_companies,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/copper_company_stocks_monthly.csv,usa_sp500_southern_copper,usa_sp500_southern_copper,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,australia_asx200,australia_asx200,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,canada_tsx_composite,canada_tsx_composite,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,chile_ipsa,chile_ipsa,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,china_csi300,china_csi300,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,germany_dax,germany_dax,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,hong_kong_hang_seng,hong_kong_hang_seng,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,india_nifty50,india_nifty50,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,indonesia_jakarta_composite,indonesia_jakarta_composite,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,japan_nikkei225,japan_nikkei225,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,peru_bvl_general,peru_bvl_general,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,poland_wig20,poland_wig20,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,south_korea_kospi,south_korea_kospi,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,turkey_bist100,turkey_bist100,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,uk_ftse100,uk_ftse100,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,usa_dow_jones,usa_dow_jones,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,usa_nasdaq_composite,usa_nasdaq_composite,monthly,as_is,native_month,feature,True,
equities_indices,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/equities/country_stock_indices_monthly.csv,usa_sp500,usa_sp500,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,boj_call_rate,boj_call_rate,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,drc_inflation_mom,drc_inflation_mom,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,drc_policy_rate,drc_policy_rate,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,ecb_policy_rate,ecb_policy_rate,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,euro_area_construction_output,euro_area_construction_output,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,euro_area_copper_production_ppi,euro_area_copper_production_ppi,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,euro_area_industrial_production,euro_area_industrial_production,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,euro_area_ppi,euro_area_ppi,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,indonesia_inflation_mom,indonesia_inflation_mom,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,japan_cpi,japan_cpi,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,japan_industrial_production,japan_industrial_production,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,japan_ppi,japan_ppi,monthly,as_is,native_month,feature,True,
global_macro,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_macro_monthly.csv,usd_cdf,usd_cdf,monthly,as_is,native_month,feature,True,
icsg,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/icsg_copper_annual.csv,icsg_mine_production_ton,icsg_mine_production_ton,annual,repeat_within_year,observation_year,feature,True,
icsg,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/icsg_copper_annual.csv,icsg_refined_balance_ton,icsg_refined_balance_ton,annual,repeat_within_year,observation_year,feature,True,
icsg,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/icsg_copper_annual.csv,icsg_refined_production_ton,icsg_refined_production_ton,annual,repeat_within_year,observation_year,feature,True,
icsg,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/icsg_copper_annual.csv,icsg_refined_usage_ton,icsg_refined_usage_ton,annual,repeat_within_year,observation_year,feature,True,
icsg,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/icsg_copper_annual.csv,is_forecast,is_forecast,annual,repeat_within_year,observation_year,feature,True,
leading_indicators,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/global_leading_indicators_monthly.csv,g20_composite_leading_indicator,g20_composite_leading_indicator,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,brent_oil_usd,brent_oil_usd,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,copper_fred_usd_per_ton,copper_fred_usd_per_ton,monthly,exclude,native_month,feature,False,Excluded because LME cash settlement is the copper target.
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,dollar_index,dollar_index,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,eur_usd,eur_usd,monthly,as_is,native_month,feature,True,
macro_fred,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/fred_macro_monthly.csv,euro_area_hicp,euro_area_hicp,monthly,as_is,native_month,feature,True,
