date,global_economic_policy_uncertainty_index,global_economic_policy_uncertainty_ppp_index
2013-05-01,106.1820570512464,105.6432853673732
2013-06-01,126.1988806368661,127.2682891387665
2013-07-01,107.4543164330492,107.2580521534088
2013-08-01,118.4234387551392,124.0941758050141
2013-09-01,136.9854768494575,138.4098943757962
2013-10-01,166.4755668368697,163.7132600416951
2013-11-01,102.3966064970933,104.7706241385151
2013-12-01,120.2091786768478,123.0826218988315
2014-01-01,113.8494595238549,116.6770163478517
2014-02-01,99.67943551325502,98.4775401087587
2014-03-01,112.4823442313246,110.6567746172889
2014-04-01,108.5106719733689,113.6722912986553
2014-05-01,105.3138109815688,108.1493184426842
2014-06-01,90.19986951782211,93.51027529673644
2014-07-01,92.63094910141204,96.33337657309704
2014-08-01,96.10813447460292,102.6543957571234
2014-09-01,119.6554026456444,124.3309927504579
2014-10-01,110.9686904220463,111.7279682437764
2014-11-01,117.379399400781,124.0055440079745
2014-12-01,109.4975898721688,111.6278690298422
2015-01-01,126.9913661804881,131.853125048956
2015-02-01,113.9329595402655,119.7903111796753
2015-03-01,109.9546009851734,113.9350988034329
2015-04-01,99.39362660762374,97.96794487558367
2015-05-01,102.952314875813,99.38876038950698
2015-06-01,117.9446271541501,116.4274444749404
2015-07-01,121.8380240019526,119.836546325918
2015-08-01,118.4947928821503,115.2722469050273
2015-09-01,151.9295075407303,151.0103806956535
2015-10-01,114.3840593054632,112.7352108481841
2015-11-01,103.4104999976285,102.6740775580479
2015-12-01,110.7188150392273,113.6538690270981
2016-01-01,143.1551187867575,138.0435599669756
2016-02-01,145.4424895711132,142.2912828935041
2016-03-01,156.885453668891,157.6368424543432
2016-04-01,140.0759000660875,141.7469282356072
2016-05-01,123.4935456801065,119.3526124253223
2016-06-01,227.9623617785582,216.1900977163727
2016-07-01,202.2074764846067,184.9271502956343
2016-08-01,132.512604601802,132.6255716125313
2016-09-01,134.3582244697192,135.8537934786782
2016-10-01,125.0091959260972,119.8952222858919
2016-11-01,226.2166927615936,210.8017079395428
2016-12-01,183.8942606919713,184.145896721857
2017-01-01,246.671374475504,252.4048188885142
2017-02-01,184.9553738581306,187.119925262419
2017-03-01,233.1182367334897,243.5082071387843
2017-04-01,174.1963249234804,172.9168273937617
2017-05-01,142.4388266211087,139.0616736538333
2017-06-01,169.6566403941028,171.0351552704886
2017-07-01,162.896213856406,167.0730751932223
2017-08-01,139.1232990399446,138.7984639755385
2017-09-01,155.7843169853797,159.0063446610948
2017-10-01,143.384646447816,147.0421004635951
2017-11-01,158.3864504322491,164.0511836920384
2017-12-01,146.2795275271179,151.4686912610622
2018-01-01,175.1911479429767,174.9843025992048
2018-02-01,124.9334885684971,127.8619314154411
2018-03-01,179.3731866077195,176.1586290721646
2018-04-01,163.3187758624214,169.3504013230239
2018-05-01,170.228990627392,169.2502277952356
2018-06-01,163.2896137167639,160.1557770676899
2018-07-01,225.1013866120937,231.5286078907811
2018-08-01,170.6249625325949,178.3823998354606
2018-09-01,191.3990484394205,200.9232848965092
2018-10-01,211.7260729750332,221.0012379296985
2018-11-01,245.6816472995783,260.2652883197995
2018-12-01,217.748163437163,212.6281888097991
2019-01-01,241.3683945862635,238.1569339197361
2019-02-01,172.5350559893052,175.1118052398795
2019-03-01,238.2293656351633,245.9982469271646
2019-04-01,188.7970852291176,199.9475475135329
2019-05-01,220.9065123676254,232.476135657579
2019-06-01,317.3008267246395,340.7507261715987
2019-07-01,247.1297522267097,253.9966097079192
2019-08-01,288.1601548135089,286.3986722710491
2019-09-01,235.6348017862331,246.2569717074703
2019-10-01,200.8072681211898,205.9572830029539
2019-11-01,240.6304700903887,253.9028286136821
2019-12-01,230.8328499877258,241.2791756496016
2020-01-01,190.5108895399397,196.0655541541909
2020-02-01,194.9254489228282,194.1418589187357
2020-03-01,315.0241031862628,306.0946277914372
2020-04-01,325.3292898060018,328.626206413861
2020-05-01,410.4991131648366,412.2633321836191
2020-06-01,306.5279256278747,317.458162219366
2020-07-01,309.069540681966,298.9663669668041
2020-08-01,286.012788816036,295.1900660804937
2020-09-01,305.6877124590549,318.5022388229556
2020-10-01,302.8410912420222,304.7843979486651
2020-11-01,392.2621177141229,408.3055730612527
2020-12-01,298.9421202023765,305.7005890758923
2021-01-01,269.4093055126647,277.3789606504059
2021-02-01,193.0010797683771,196.8751273495839
