horizon,expert,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
7,elasticnet_10y,13,1846.0220543787184,2054.720493241278,14.503294558349882,15.911073943362759,-1846.0220543787184,76.92307692307693
7,arima_8y,13,1900.750095637509,2167.735122914964,15.147366930819572,16.778361418075015,-1900.750095637509,76.92307692307693
7,arima_10y,13,1910.6941908750393,2169.5442776712157,15.228635917966013,16.856580198645883,-1910.6941908750393,76.92307692307693
7,arima_5y,13,1936.4217884601462,2193.848911304008,15.390393762066907,17.055090048113748,-1936.4217884601462,76.92307692307693
7,naive,13,2071.4444670635744,2273.315798637012,16.471563831639607,18.23970601913244,-2071.4444670635744,0.0
7,sarimax_5y,13,2155.9069423391556,2352.9403949395532,17.358593071312722,19.32199451168296,-2155.9069423391556,46.15384615384615
7,ridge_5y,13,2962.6931767799574,3160.7089928519504,23.41097830552686,26.867274810238094,-2962.6931767799574,0.0
7,elasticnet_5y,13,3039.150782990078,3241.9512738143185,24.00180967053716,27.63513856166877,-3039.150782990078,0.0
8,ridge_10y,12,984.9042752369165,1191.7285710304668,7.857534005943922,8.246797184869255,-760.4292377098105,100.0
8,sarimax_8y,12,1342.095853704784,1521.3841566545736,10.730265096168305,11.513405762910162,-1330.7249170957534,91.66666666666666
8,ridge_8y,12,1420.3952222892924,1659.1619721184904,10.987711281350489,11.813374655418373,-1289.609320568816,100.0
8,elasticnet_8y,12,1819.789085396388,2073.329954269557,13.917920579210206,15.22333020984568,-1713.80883762775,91.66666666666666
8,sarimax_10y,12,1813.8854489246598,1974.6200905179269,14.542226361653368,15.914340660194174,-1813.8854489246598,83.33333333333334
8,elasticnet_10y,12,2153.011880425071,2316.0953154468593,16.830303349628732,18.53301207227762,-1997.3064858333007,100.0
8,arima_8y,12,2409.293554183598,2593.1004739295254,18.871641564995187,21.153832907907795,-2409.293554183598,75.0
8,arima_10y,12,2416.9718980494,2591.879013261067,18.941747828987523,21.217476179189912,-2416.9718980494,75.0
8,arima_5y,12,2427.871853640518,2615.408417747658,18.991816925067518,21.306919768517655,-2427.871853640518,75.0
8,naive,12,2530.984085350619,2676.45867897733,19.852792504885134,22.26930077768266,-2530.984085350619,0.0
8,sarimax_5y,12,2611.4237456612277,2817.459411970663,20.457981027265358,23.17571098021811,-2611.4237456612277,50.0
8,ridge_5y,12,3198.2511017195925,3356.9639497844496,25.053943923401178,28.94278595199193,-3198.2511017195925,0.0
8,elasticnet_5y,12,3288.7531842210738,3454.6803607534716,25.730433141107873,29.83816722152875,-3288.7531842210738,0.0
9,sarimax_10y,11,933.4736951450396,1261.2063359988972,7.13369085047878,7.623658172365986,-933.4736951450396,100.0
9,sarimax_8y,11,943.9951775164028,1280.8208487850022,7.325820561946269,7.830158778448102,-807.4701557512969,100.0
9,ridge_8y,11,1409.4269185709925,1606.2838612949672,10.765743750558492,11.5700885439195,-1408.2963699701015,100.0
9,ridge_10y,11,1442.6800208600487,1541.383929226173,11.35013758402469,11.88830030384917,-1013.2618934995073,100.0
9,elasticnet_8y,11,1972.2078050061325,2198.021405878032,14.979599870170643,16.490491733449968,-1972.2078050061325,100.0
9,elasticnet_10y,11,2466.0133300174084,2607.399860152458,19.02539908763708,21.204303359875578,-2332.0042294791697,100.0
9,arima_8y,11,2831.44861192898,3000.020704700654,21.872580500091246,24.86822112442572,-2831.44861192898,72.72727272727273
9,arima_5y,11,2842.4735304750025,3011.069849926777,21.945955551263417,24.96072713050566,-2842.4735304750025,72.72727272727273
9,arima_10y,11,2838.5207965884188,2993.6910591558917,21.94669314630425,24.92930563445563,-2838.5207965884188,72.72727272727273
9,naive,11,2929.351587796897,3041.233719770633,22.71358598466109,25.803977591052035,-2929.351587796897,0.0
9,sarimax_5y,11,3658.250865696559,3785.0203111635255,28.387888953388195,33.37059789715334,-3658.250865696559,0.0
9,ridge_5y,11,3699.471706441813,3843.5905816167888,28.64139146944535,33.751680536191884,-3699.471706441813,0.0
9,elasticnet_5y,11,3768.5992835379225,3909.8978770254175,29.172290446224718,34.46774915385818,-3768.5992835379225,0.0
10,sarimax_10y,10,1495.827507730703,1702.721786698684,11.41764468402645,12.327016728694181,-1495.827507730703,100.0
10,ridge_10y,10,1536.8004658400619,1692.2341650138706,11.66823610104513,12.544034784131942,-1487.54286296058,100.0
10,ridge_8y,10,1839.145232570935,1937.2894071293533,14.21643487571784,15.427240765176936,-1839.145232570935,100.0
10,elasticnet_8y,10,2424.7023306965725,2553.4294116267997,18.41616575630843,20.465248021922775,-2424.7023306965725,100.0
10,sarimax_8y,10,2384.3358475632376,2455.6277961219475,18.52349229297849,20.54642715312522,-2384.3358475632376,90.0
10,elasticnet_10y,10,2617.1451691656466,2797.6428549325015,19.85768981268665,22.369849464080676,-2553.2078678164794,90.0
10,arima_8y,10,3132.3684496508895,3226.83763262247,24.039292223894122,27.506646142622664,-3132.3684496508895,70.0
10,arima_10y,10,3139.2178976897,3223.5955176800594,24.105031360316897,27.564252998556306,-3139.2178976897,70.0
10,arima_5y,10,3144.119257437498,3238.8203568827885,24.11671653290577,27.604809351714245,-3144.119257437498,70.0
10,sarimax_5y,10,3190.2678181786387,3244.5209744388535,24.521594366129605,28.01409413982877,-3190.2678181786387,50.0
10,naive,10,3232.7620726635428,3293.7967279105933,24.843788739531465,28.460560505573206,-3232.7620726635428,0.0
