feature,category,frequency,aggregation,paired_observations,pearson_correlation,abs_pearson_correlation,spearman_correlation,abs_spearman_correlation
baltic_dry_index,shipping,daily,monthly_mean,140,0.6921514159929418,0.6921514159929418,0.7679779580590848,0.7679779580590848
wti_usd_per_barrel,commodities,monthly,as_is,139,0.6868769997219868,0.6868769997219868,0.7579272163008173,0.7579272163008173
platinum_usd_per_troy_ounce,commodities,monthly,as_is,139,0.6837991758671804,0.6837991758671804,0.4865360641928407,0.4865360641928407
chile_concentrator_electricity_mj_per_ton,chile_cochilco,annual,repeat_within_year,120,0.6767007530404551,0.6767007530404551,0.6556424339116269,0.6556424339116269
chile_average_copper_ore_grade_pct,chile_cochilco,annual,repeat_within_year,120,-0.6739875912105564,0.6739875912105564,-0.7343731298591141,0.7343731298591141
poland_wig20,equities_indices,monthly,as_is,140,0.6711800145802642,0.6711800145802642,0.48660645951324055,0.48660645951324055
korea_10y_yield,macro_fred,monthly,as_is,138,0.669366572963231,0.669366572963231,0.6560872533328461,0.6560872533328461
brent_oil_usd,macro_fred,monthly,as_is,139,0.6665684995054845,0.6665684995054845,0.7261405782206531,0.7261405782206531
chile_open_pit_fuel_mj_per_ton,chile_cochilco,annual,repeat_within_year,120,0.6545185954956668,0.6545185954956668,0.49524957993350155,0.49524957993350155
germany_10y_bund_yield,macro_fred,monthly,as_is,138,0.651776442718988,0.651776442718988,0.5125248722287142,0.5125248722287142
chile_sulfuric_acid_production_ton,chile_cochilco,annual,repeat_within_year,120,-0.6503409749642659,0.6503409749642659,-0.6240663994731135,0.6240663994731135
aluminum_stock_ton,other_metals,daily,month_end_last,140,-0.6469276979651154,0.6469276979651154,-0.7302005204347162,0.7302005204347162
chile_mining_wage_yoy_pct,chile_cochilco,annual,repeat_within_year,96,0.6267141838606363,0.6267141838606363,0.6768949782134187,0.6768949782134187
indonesia_reer,macro_fred,monthly,as_is,139,-0.6153196114290845,0.6153196114290845,-0.47831449126413145,0.47831449126413145
us_10y_treasury_yield,macro_fred,monthly,as_is,140,0.6078389870554721,0.6078389870554721,0.5375952349711961,0.5375952349711961
nickel_cash_usd_per_ton,other_metals,daily,monthly_mean,140,0.6005383283058884,0.6005383283058884,0.7650302858017538,0.7650302858017538
iron_ore_usd_per_dmtu,commodities,monthly,as_is,139,0.5815546775487371,0.5815546775487371,0.7094937055671056,0.7094937055671056
geopolitical_threats_index,risk,monthly,as_is,140,0.5735993743326696,0.5735993743326696,0.588528569241871,0.588528569241871
shfe_turnover,copper_market,daily,monthly_sum,62,0.5704267824965341,0.5704267824965341,0.5254715318173806,0.5254715318173806
global_container_export,shipping,daily,monthly_sum,92,0.568864663786641,0.568864663786641,0.5976449917543887,0.5976449917543887
global_container_import,shipping,daily,monthly_sum,92,0.568482444380403,0.568482444380403,0.6027464821293713,0.6027464821293713
turkey_unemployment_rate_percent,turkey,monthly,as_is,139,-0.5670556558017079,0.5670556558017079,-0.5301952026687586,0.5301952026687586
china_csi300,equities_indices,monthly,as_is,140,0.5670460749344012,0.5670460749344012,0.5977520718987122,0.5977520718987122
peru_copper_production_ton,peru_mining,annual,repeat_within_year,132,0.5645858175230604,0.5645858175230604,0.4751214588080297,0.4751214588080297
ecb_policy_rate,global_macro,monthly,as_is,140,0.5580660149323466,0.5580660149323466,0.590003852410874,0.590003852410874
chile_copper_production_ton,chile_cochilco,annual,repeat_within_year,120,-0.5576791979969212,0.5576791979969212,-0.4787496362083366,0.4787496362083366
us_2y_yield,macro_fred,monthly,as_is,140,0.5510062389777621,0.5510062389777621,0.48169607015487154,0.48169607015487154
us_housing_starts,macro_fred,monthly,as_is,139,0.5304042466939276,0.5304042466939276,0.6475090993512215,0.6475090993512215
geopolitical_risk_index,risk,monthly,as_is,140,0.527628689011737,0.527628689011737,0.4447311451750455,0.4447311451750455
china_real_estate_investment_yoy_pct,china,monthly,as_is,126,-0.5267429428682164,0.5267429428682164,-0.4588607982110904,0.4588607982110904
peru_usd_pen,peru_cost_drivers,monthly,as_is,139,0.5206898188768447,0.5206898188768447,0.5976667623976745,0.5976667623976745
japan_industrial_production,global_macro,monthly,as_is,138,-0.5200845705898184,0.5200845705898184,-0.5781913591358108,0.5781913591358108
euro_area_construction_output,global_macro,monthly,as_is,138,0.5198614127427216,0.5198614127427216,0.589477299446353,0.589477299446353
fed_interest_rate,macro_fred,monthly,as_is,140,0.5190861845893552,0.5190861845893552,0.38721139877182204,0.38721139877182204
turkey_capacity_motor_vehicles_percent,turkey,monthly,as_is,140,-0.5097557821413151,0.5097557821413151,-0.5948262666462575,0.5948262666462575
global_economic_policy_uncertainty_ppp_index,risk,monthly,as_is,139,0.49911396946547437,0.49911396946547437,0.49677376111533134,0.49677376111533134
turkey_foreign_trade_balance_usd,turkey,monthly,as_is,139,-0.48883041289467766,0.48883041289467766,-0.5008579471826266,0.5008579471826266
global_economic_policy_uncertainty_index,risk,monthly,as_is,139,0.4822283392277312,0.4822283392277312,0.4770901291389248,0.4770901291389248
zinc_stock_ton,other_metals,daily,month_end_last,140,-0.4817584917266813,0.4817584917266813,-0.4119945026292098,0.4119945026292098
shfe_volume_lots,copper_market,daily,monthly_sum,128,-0.46883977341144656,0.46883977341144656,-0.48536783556125257,0.48536783556125257
dollar_index,macro_fred,monthly,as_is,140,0.4674170063301721,0.4674170063301721,0.47469768865758466,0.47469768865758466
is_forecast,icsg,annual,repeat_within_year,116,-0.4561343076709087,0.4561343076709087,-0.6166990560658483,0.6166990560658483
turkey_capacity_investment_goods_percent,turkey,monthly,as_is,140,-0.45514652816038764,0.45514652816038764,-0.5658758212197458,0.5658758212197458
is_estimate,usgs,annual,repeat_within_year,120,0.44797201048868707,0.44797201048868707,0.43543344749326507,0.43543344749326507
nickel_stock_ton,other_metals,daily,month_end_last,140,-0.43225462324285124,0.43225462324285124,-0.4725109881699505,0.4725109881699505
korea_call_money_rate,macro_fred,monthly,as_is,138,0.4304553472362494,0.4304553472362494,0.3616119514301834,0.3616119514301834
drc_policy_rate,global_macro,monthly,as_is,136,0.42957168480611335,0.42957168480611335,0.49957702767964873,0.49957702767964873
india_call_money_rate,macro_fred,monthly,as_is,138,-0.4165699339184829,0.4165699339184829,-0.4659236402427855,0.4659236402427855
coal_australia_usd_per_ton,commodities,monthly,as_is,139,0.41504461388853214,0.41504461388853214,0.7508777888669472,0.7508777888669472
geopolitical_acts_index,risk,monthly,as_is,140,0.4009623259494338,0.4009623259494338,0.25150991668671147,0.25150991668671147
global_import,shipping,daily,monthly_sum,92,0.3731283169069723,0.3731283169069723,0.4273230276035325,0.4273230276035325
peru_copper_production_yoy_pct,peru_mining,annual,repeat_within_year,132,-0.3716894175047284,0.3716894175047284,-0.2157756843494982,0.2157756843494982
indonesia_call_money_rate,macro_fred,monthly,as_is,138,-0.3687327124693302,0.3687327124693302,-0.3857756804844289,0.3857756804844289
peru_mining_employment_yoy_pct,peru_mining,annual,repeat_within_year,60,0.36521829707462083,0.36521829707462083,0.46138465387679434,0.46138465387679434
copper_supply_dry_bulk_portcalls,shipping,daily,monthly_sum,92,0.3641601278226666,0.3641601278226666,0.3667272821048791,0.3667272821048791
palladium_usd_per_troy_ounce,other_metals,daily,monthly_mean,140,0.3564493574420768,0.3564493574420768,0.49029760993636706,0.49029760993636706
peru_formal_private_income_pen,peru_cost_drivers,monthly,as_is,138,0.34739119879293884,0.34739119879293884,0.5244932229959226,0.5244932229959226
global_export,shipping,daily,monthly_sum,92,0.3463248373151281,0.3463248373151281,0.42887967572399543,0.42887967572399543
copper_supply_dry_bulk_export,shipping,daily,monthly_sum,92,0.33606056535197804,0.33606056535197804,0.2865927900991015,0.2865927900991015
turkey_capacity_fabricated_metals_percent,turkey,monthly,as_is,140,0.3352847145287077,0.3352847145287077,0.37206708797096066,0.37206708797096066
g20_composite_leading_indicator,leading_indicators,monthly,as_is,138,0.33510618971215966,0.33510618971215966,0.4640459006961362,0.4640459006961362
chile_sulfuric_acid_export_ton,chile_cochilco,annual,repeat_within_year,120,-0.3308421452996663,0.3308421452996663,-0.4114097643553796,0.4114097643553796
india_10y_yield,macro_fred,monthly,as_is,138,-0.3286732536620283,0.3286732536620283,-0.36945262261476136,0.36945262261476136
turkey_consumer_confidence_index,turkey,monthly,as_is,140,-0.3267389086049441,0.3267389086049441,-0.3975202816470228,0.3975202816470228
natural_gas_usd,macro_fred,monthly,as_is,140,0.31668851224294486,0.31668851224294486,0.3915943233255341,0.3915943233255341
lead_stock_ton,other_metals,daily,month_end_last,140,0.3162146253279607,0.3162146253279607,0.07962467308760886,0.07962467308760886
peru_industrial_electricity_tariff_index,peru_cost_drivers,monthly,as_is,139,0.31135000633390575,0.31135000633390575,0.45311583043965814,0.45311583043965814
euro_area_industrial_production,global_macro,monthly,as_is,138,0.3066841270273857,0.3066841270273857,0.39124527907110057,0.39124527907110057
us_10y_2y_spread,macro_fred,monthly,as_is,140,-0.2722226343265987,0.2722226343265987,-0.3064456350615187,0.3064456350615187
turkey_capacity_machinery_percent,turkey,monthly,as_is,140,-0.24499736480335974,0.24499736480335974,-0.2661389429489843,0.2661389429489843
icsg_refined_balance_ton,icsg,annual,repeat_within_year,116,0.2416421820543286,0.2416421820543286,0.2936967098411716,0.2936967098411716
usd_cny,macro_fred,monthly,as_is,140,0.24040661016491513,0.24040661016491513,0.24554459775644535,0.24554459775644535
india_industrial_production,macro_fred,monthly,as_is,137,0.2357524002203324,0.2357524002203324,0.3326488323034704,0.3326488323034704
us_industrial_production,macro_fred,monthly,as_is,139,0.2277254699868951,0.2277254699868951,0.2111959998169241,0.2111959998169241
korea_industrial_production,macro_fred,monthly,as_is,137,0.22250814076601133,0.22250814076601133,0.3163565212219111,0.3163565212219111
lead_cash_usd_per_ton,other_metals,daily,monthly_mean,140,0.21706655142459058,0.21706655142459058,0.3390592148208001,0.3390592148208001
china_ppi_yoy_pct,china,monthly,as_is,138,0.21341569188266885,0.21341569188266885,0.23618485617560925,0.23618485617560925
copper_stock_ton,copper_market,daily,month_end_last,140,-0.20703146817484444,0.20703146817484444,-0.3417689133613677,0.3417689133613677
chile_mining_wage_index,chile_cochilco,annual,repeat_within_year,120,0.20000171960495425,0.20000171960495425,0.2579686633172983,0.2579686633172983
global_dry_bulk_import,shipping,daily,monthly_sum,92,0.18246687281393278,0.18246687281393278,0.3175253918591927,0.3175253918591927
turkey_capacity_electrical_equipment_percent,turkey,monthly,as_is,140,-0.17480969780519376,0.17480969780519376,-0.2961842076490784,0.2961842076490784
germany_manufacturing_order_books,macro_fred,monthly,as_is,138,-0.17278910756269145,0.17278910756269145,-0.08518396326207861,0.08518396326207861
copper_supply_dry_bulk_import,shipping,daily,monthly_sum,92,-0.1724212968093628,0.1724212968093628,-0.07259220442951157,0.07259220442951157
china_fixed_asset_investment_yoy_pct,china,monthly,as_is,126,-0.1717763980179576,0.1717763980179576,-0.40268684287747186,0.40268684287747186
china_copper_related_dry_bulk_export,shipping,daily,monthly_sum,92,0.14969027053367787,0.14969027053367787,0.3995653715148806,0.3995653715148806
global_dry_bulk_export,shipping,daily,monthly_sum,92,0.1452425358669131,0.1452425358669131,0.27167362791486216,0.27167362791486216
china_industrial_value_added_yoy_pct,china,monthly,as_is,114,-0.14483818570994772,0.14483818570994772,-0.23275021322178066,0.23275021322178066
turkey_manufacturing_capacity_utilization_percent,turkey,monthly,as_is,140,-0.14459694958662964,0.14459694958662964,-0.3216161289053757,0.3216161289053757
eur_usd,macro_fred,monthly,as_is,140,0.142888625820048,0.142888625820048,0.16838505255786373,0.16838505255786373
china_copper_related_dry_bulk_portcalls,shipping,daily,monthly_sum,92,-0.13970865218575576,0.13970865218575576,0.03124121004027178,0.03124121004027178
usd_gbp,macro_fred,monthly,as_is,140,-0.13432358452984708,0.13432358452984708,0.00687935973409722,0.00687935973409722
drc_inflation_mom,global_macro,monthly,as_is,138,-0.1296717097546675,0.1296717097546675,0.12155854118989355,0.12155854118989355
turkey_real_sector_confidence_index,turkey,monthly,as_is,140,0.11567203089770373,0.11567203089770373,0.039772870306726035,0.039772870306726035
hong_kong_hang_seng,equities_indices,monthly,as_is,140,-0.09370439604924195,0.09370439604924195,-0.05468063239378103,0.05468063239378103
china_copper_related_portcalls,shipping,daily,monthly_sum,92,0.07862087563820755,0.07862087563820755,0.20819333561857523,0.20819333561857523
vix_index,macro_fred,monthly,as_is,140,0.0632255592918246,0.0632255592918246,0.2296409761880363,0.2296409761880363
japan_manufacturing_growth,macro_fred,monthly,as_is,137,0.06303946644283163,0.06303946644283163,0.02644616142302755,0.02644616142302755
shfe_open_interest_change,copper_market,daily,monthly_sum,128,0.062030028700453516,0.062030028700453516,0.020366004394799485,0.020366004394799485
turkey_capacity_intermediate_goods_percent,turkey,monthly,as_is,140,-0.0535199472139584,0.0535199472139584,-0.15009197920130513,0.15009197920130513
shfe_open_interest_lots,copper_market,daily,month_end_last,128,-0.0464488841426988,0.0464488841426988,-0.05261170115363486,0.05261170115363486
turkey_capacity_basic_metals_percent,turkey,monthly,as_is,140,-0.04382950484751703,0.04382950484751703,-0.01540311823489537,0.01540311823489537
china_copper_related_dry_bulk_import,shipping,daily,monthly_sum,92,-0.04192715882315303,0.04192715882315303,0.04202949925250066,0.04202949925250066
tin_stock_ton,other_metals,daily,month_end_last,140,-0.03759706563981074,0.03759706563981074,-0.2061398713413036,0.2061398713413036
global_cargo_portcalls,shipping,daily,monthly_sum,92,-0.01918898850695062,0.01918898850695062,0.0754280782331273,0.0754280782331273
global_container_portcalls,shipping,daily,monthly_sum,92,0.015350188583575574,0.015350188583575574,0.04350154702168067,0.04350154702168067
copper_supply_portcalls,shipping,daily,monthly_sum,92,0.013755829125092838,0.013755829125092838,0.003961876675321069,0.003961876675321069
global_portcalls,shipping,daily,monthly_sum,92,0.009212547547637765,0.009212547547637765,0.10924279086971934,0.10924279086971934
global_dry_bulk_portcalls,shipping,daily,monthly_sum,92,-0.008073703078052748,0.008073703078052748,0.2101166715472466,0.2101166715472466
indonesia_inflation_mom,global_macro,monthly,as_is,140,0.0036280869741865973,0.0036280869741865973,-0.012488162667541096,0.012488162667541096
