horizon,expert,observations,mae,rmse,mape_pct,bias,directional_accuracy_pct
6,weighted_ensemble,11,1792.562289675573,1996.5292975314028,14.21339931627173,-1785.0047475575964,90.9090909090909
6,sarimax_8y,11,1809.4448485180117,2035.1553542241086,14.26867957788146,-1607.9615158844933,72.72727272727273
6,xgboost_return_10y,11,1791.7767561644823,2042.2757293003494,14.323295966933472,-1707.1708758119223,63.63636363636363
6,sarimax_10y,11,1893.5613183114467,2183.6493784072077,14.93959770567714,-1479.359339762665,72.72727272727273
6,lightgbm_return_10y,11,1916.8734107928503,2168.4099724604835,15.230147769637384,-1840.2032095938257,63.63636363636363
6,arima_10y,11,1953.0460866107774,2148.638661720398,15.448501449534355,-1901.7523507985616,63.63636363636363
6,elasticnet_10y,11,1975.3027696169615,2073.8658394608274,15.505831308895143,-1975.3027696169615,63.63636363636363
6,arima_8y,11,1963.3227020076024,2155.9291460506483,15.54645658435612,-1903.8187479605747,63.63636363636363
6,arima_5y,11,1965.5147103062977,2173.694671185379,15.572069627148075,-1961.0839259860718,54.54545454545454
6,simple_ensemble,11,1975.036929553034,2141.2969320201914,15.582505966122028,-1975.036929553034,81.81818181818183
6,naive,11,2036.3877644989823,2206.969449270438,16.061586602815318,-2036.3877644989823,0.0
6,sarimax_5y,11,2061.8941370223333,2277.327482482019,16.283939277675618,-2061.8941370223333,72.72727272727273
6,xgboost_return_5y,11,2227.954972017821,2480.496266580288,17.628937107749106,-2122.8422282054134,36.36363636363637
6,lightgbm_return_5y,11,2500.0350651821245,2728.3152465413204,19.707873170940125,-2500.0350651821245,9.090909090909092
6,lightgbm_10y,11,2882.958777462751,3008.03365068229,22.354215224327987,-2882.958777462751,9.090909090909092
6,lightgbm_8y,11,3044.6561244451946,3190.5727816873164,23.488763072093157,-3044.6561244451946,9.090909090909092
6,ridge_5y,11,3097.947508970082,3180.1650288405935,24.077884304582728,-3097.947508970082,0.0
6,elasticnet_5y,11,3184.8635996493035,3274.556977792443,24.741951796857347,-3184.8635996493035,0.0
6,lightgbm_5y,11,3200.233718135806,3283.997732611758,24.897636092423923,-3200.233718135806,9.090909090909092
12,sarimax_10y,5,2126.4370732660745,2157.6817639575356,15.6792813732444,-2126.4370732660745,100.0
12,ridge_10y,5,2751.1217965695946,2764.2244280738237,20.25097818533512,-2751.1217965695946,100.0
12,top3_weighted_ensemble,5,2817.1281468075754,2852.415738765711,20.71960926913053,-2817.1281468075754,100.0
12,top3_simple_ensemble,5,2885.0825762218515,2921.9793693301326,21.214029009815487,-2885.0825762218515,100.0
12,top5_weighted_ensemble,5,2896.0498733061477,2923.2008173690224,21.304811052071198,-2896.0498733061477,100.0
12,top5_simple_ensemble,5,2948.541245276205,2975.82888830431,21.688697828572767,-2948.541245276205,100.0
12,ridge_8y,5,3073.4858975449865,3088.511540612399,22.614433779858505,-3073.4858975449865,100.0
12,sarimax_8y,5,3191.809662110099,3225.321545752546,23.566239469516965,-3191.809662110099,80.0
12,lightgbm_return_10y,5,3208.2617245137894,3243.7040368493876,23.594227887724628,-3208.2617245137894,100.0
12,lightgbm_return_8y,5,3229.0484736777526,3272.9798005489765,23.793555446676244,-3229.0484736777526,80.0
12,xgboost_return_10y,5,3266.320500468074,3448.5230959844093,23.93688460514081,-3266.320500468074,80.0
12,xgboost_return_8y,5,3390.5651315634886,3422.147206558941,24.982117091418843,-3390.5651315634886,80.0
