model,training_window_years,horizon,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
elasticnet,5,10,10,3612.97391288457,3688.2444975599296,27.741012033215977,32.347540107147296,-3612.97391288457,10.0
ridge,5,10,10,3687.448185007316,3774.1399150146667,28.305977134058125,33.15579243677965,-3687.448185007316,0.0
ridge,10,11,9,2141.9405661319197,2195.1096654559456,16.20335685545823,17.70096330436225,-2141.9405661319197,100.0
ridge,8,11,9,2570.5519650367883,2619.3966379313924,19.515665606620054,21.712441366802647,-2570.5519650367883,88.88888888888889
elasticnet,8,11,9,2789.6464141288984,2870.777466534399,21.029575275284646,23.622375965891948,-2789.6464141288984,100.0
elasticnet,10,11,9,3249.6216001865027,3277.2498443977934,24.67469810149646,28.19453630090727,-3249.6216001865027,88.88888888888889
ridge,5,11,9,3756.6960479366808,3794.199962733088,28.472736913956926,33.253845610397576,-3756.6960479366808,22.22222222222222
elasticnet,5,11,9,3833.7276311913124,3874.886806598983,29.055036690947965,34.0580868769099,-3833.7276311913124,11.11111111111111
ridge,10,12,8,2569.7559034089263,2596.754842494761,19.277835135280625,21.370344982404983,-2569.7559034089263,100.0
ridge,8,12,8,3157.0040196858017,3169.8989399964858,23.747468944983897,26.976911703813254,-3157.0040196858017,87.5
elasticnet,8,12,8,3250.8845341942515,3292.861466447978,24.33130657032131,27.76552546485987,-3250.8845341942515,100.0
elasticnet,10,12,8,3480.726139015929,3492.9105397125745,26.13752632344012,30.08092543298645,-3480.726139015929,87.5
ridge,5,12,8,4080.1321242973168,4122.2157691700895,30.55870373021335,36.1534335793267,-4080.1321242973168,25.0
elasticnet,5,12,8,4131.353236560497,4165.360151377555,30.960803614993115,36.693820767221105,-4131.353236560497,12.5
