model,horizon,origin_date,expert,prior_mae,prior_observations,weight
top3_simple_ensemble,1,2026-02-28,ridge_10y,439.9188677880884,13,0.3333333333333333
top3_weighted_ensemble,1,2026-02-28,elasticnet_8y,420.2967899437966,13,0.34289771407788394
top3_weighted_ensemble,1,2026-02-28,naive,437.38752081252085,13,0.3294991321160913
top3_weighted_ensemble,1,2026-02-28,ridge_10y,439.9188677880884,13,0.3276031538060247
top5_simple_ensemble,1,2026-02-28,elasticnet_8y,420.2967899437966,13,0.2
top5_simple_ensemble,1,2026-02-28,naive,437.38752081252085,13,0.2
top5_simple_ensemble,1,2026-02-28,ridge_10y,439.9188677880884,13,0.2
top5_simple_ensemble,1,2026-02-28,arima_5y,472.23691104230574,13,0.2
top5_simple_ensemble,1,2026-02-28,lightgbm_return_10y,476.24276125243466,13,0.2
top5_weighted_ensemble,1,2026-02-28,elasticnet_8y,420.2967899437966,13,0.21327143317577177
top5_weighted_ensemble,1,2026-02-28,naive,437.38752081252085,13,0.20493794286598943
top5_weighted_ensemble,1,2026-02-28,ridge_10y,439.9188677880884,13,0.2037587048750175
top5_weighted_ensemble,1,2026-02-28,arima_5y,472.23691104230574,13,0.18981425774804409
top5_weighted_ensemble,1,2026-02-28,lightgbm_return_10y,476.24276125243466,13,0.18821766133517712
top3_simple_ensemble,1,2026-03-31,naive,439.6346784168214,14,0.3333333333333333
top3_simple_ensemble,1,2026-03-31,elasticnet_8y,459.5194536660965,14,0.3333333333333333
top3_simple_ensemble,1,2026-03-31,arima_5y,473.1389053241996,14,0.3333333333333333
top3_weighted_ensemble,1,2026-03-31,naive,439.6346784168214,14,0.34651062935449595
top3_weighted_ensemble,1,2026-03-31,elasticnet_8y,459.5194536660965,14,0.3315160824836777
top3_weighted_ensemble,1,2026-03-31,arima_5y,473.1389053241996,14,0.3219732881618263
top5_simple_ensemble,1,2026-03-31,naive,439.6346784168214,14,0.2
top5_simple_ensemble,1,2026-03-31,elasticnet_8y,459.5194536660965,14,0.2
top5_simple_ensemble,1,2026-03-31,arima_5y,473.1389053241996,14,0.2
top5_simple_ensemble,1,2026-03-31,lightgbm_return_10y,474.77461381069446,14,0.2
top5_simple_ensemble,1,2026-03-31,arima_10y,485.58176102308477,14,0.2
top5_weighted_ensemble,1,2026-03-31,naive,439.6346784168214,14,0.21198667306589614
