feature,category,frequency,aggregation,feature_lag_months,paired_observations,pearson_correlation,abs_pearson_correlation,spearman_correlation,abs_spearman_correlation
china_csi300_jiangxi_copper,equities_companies,monthly,as_is,6,134,0.7170250741213992,0.7170250741213992,0.6769485903814263,0.6769485903814263
usd_krw,macro_fred,monthly,as_is,3,137,0.7169758149534431,0.7169758149534431,0.5567793604271286,0.5567793604271286
icsg_refined_production_ton,icsg,annual,repeat_within_year,12,80,0.7168398639780075,0.7168398639780075,0.5231285210817392,0.5231285210817392
zinc_cash_usd_per_ton,other_metals,daily,monthly_mean,0,140,0.7135277031794359,0.7135277031794359,0.7592661433163501,0.7592661433163501
chile_sulfuric_acid_import_ton,chile_cochilco,annual,repeat_within_year,1,120,0.7126340612604511,0.7126340612604511,0.7154442604079098,0.7154442604079098
peru_diesel_price_index,peru_cost_drivers,monthly,as_is,0,139,0.7125360570569323,0.7125360570569323,0.7274702672190567,0.7274702672190567
boj_call_rate,global_macro,monthly,as_is,1,139,0.7125354315676785,0.7125354315676785,0.4864158362750793,0.4864158362750793
world_copper_refinery_production_ton,usgs,annual,repeat_within_year,0,96,0.7120592913070045,0.7120592913070045,0.6924308212005075,0.6924308212005075
usd_jpy,macro_fred,monthly,as_is,1,139,0.7080151685884801,0.7080151685884801,0.5801331605523035,0.5801331605523035
world_copper_reserves_ton,usgs,annual,repeat_within_year,6,96,0.7052060505013974,0.7052060505013974,0.689002113764947,0.689002113764947
uk_ftse100_glencore,equities_companies,monthly,as_is,1,139,0.7042711332150079,0.7042711332150079,0.6977612940703337,0.6977612940703337
usd_krw,macro_fred,monthly,as_is,6,134,0.7037160310484383,0.7037160310484383,0.5593960024439208,0.5593960024439208
icsg_refined_usage_ton,icsg,annual,repeat_within_year,6,86,0.7032831554644704,0.7032831554644704,0.6218763109890386,0.6218763109890386
canada_tsx_composite_teck_resources,equities_companies,monthly,as_is,6,134,0.7014589701903572,0.7014589701903572,0.6639209965211537,0.6639209965211537
