date,delivery_month,open_cny_per_ton,high_cny_per_ton,low_cny_per_ton,close_cny_per_ton,settlement_cny_per_ton,pre_settlement_cny_per_ton,volume_lots,open_interest_lots,open_interest_change,turnover
2016-11-30,1702,47030.0,47240.0,45110.0,46100,46220,47950,505638,228600,10366,
2016-12-01,1702,46390.0,47570.0,46140.0,47060,46990,46220,464488,235960,7360,
2016-12-02,1702,46930.0,47180.0,46150.0,46630,46650,46990,330356,230370,-5590,
2016-12-05,1702,46420.0,47630.0,46200.0,47360,46910,46650,364274,251632,21262,
2016-12-06,1702,47420.0,48480.0,47400.0,47690,47950,46910,365538,254760,3128,
2016-12-07,1702,47460.0,48500.0,47330.0,48350,47930,47950,358714,281024,26264,
2016-12-08,1702,48260.0,48470.0,46910.0,47210,47530,47930,385546,259338,-21686,
2016-12-09,1702,47360.0,47770.0,46480.0,47390,47100,47530,373262,245848,-13490,
2016-12-12,1702,47530.0,48270.0,47150.0,47230,47700,47100,332482,244348,-1500,
2016-12-13,1702,47060.0,47300.0,46620.0,46920,46930,47700,292322,235676,-8672,
2016-12-14,1702,47270.0,47300.0,46000.0,46490,46540,46930,288536,228348,-7328,
2016-12-15,1702,46780.0,47130.0,46140.0,46790,46680,46540,269802,223872,-4476,
2016-12-16,1702,46400.0,47160.0,46220.0,46460,46640,46680,233462,216844,-7028,
2016-12-19,1702,46180.0,46590.0,45580.0,45630,46090,46640,244460,215100,-1744,
2016-12-20,1702,45580.0,45580.0,44480.0,44890,44970,46090,297386,203366,-11734,
2016-12-21,1702,44950.0,45420.0,44800.0,45330,45140,44970,158184,199436,-3930,
2016-12-22,1702,45180.0,45330.0,44370.0,44430,44810,45140,171752,204652,5216,
2016-12-23,1702,44410.0,45200.0,44130.0,45070,44800,44810,236000,199536,-5116,
2016-12-26,1702,44900.0,45100.0,43370.0,44070,44210,44800,249022,181694,-17842,
2016-12-27,1702,44050.0,44770.0,43880.0,44600,44340,44210,137474,167124,-14570,
2016-12-28,1703,44640.0,46020.0,44640.0,45620,45530,44440,208248,179558,10088,
2016-12-29,1703,45450.0,45970.0,45160.0,45810,45570,45530,213126,192142,12584,
2016-12-30,1703,45650.0,45760.0,45070.0,45500,45430,45570,199464,187358,-4784,
2017-01-03,1703,45630.0,46290.0,45630.0,45760,46040,45430,183888,193636,6278,
2017-01-04,1703,45910.0,45980.0,44810.0,45520,45360,46040,290606,197220,3584,
2017-01-05,1703,45400.0,46170.0,45360.0,45760,45850,45360,318430,206010,8790,
2017-01-06,1703,45720.0,45770.0,45090.0,45350,45430,45850,252160,202332,-3678,
2017-01-09,1703,45260.0,45770.0,45090.0,45730,45470,45430,201880,204444,2112,
2017-01-10,1703,45530.0,46270.0,45350.0,46110,45780,45470,310498,218778,14334,
2017-01-11,1703,46340.0,47260.0,46340.0,47160,46950,45780,371356,225868,7090,
2017-01-12,1703,46950.0,47200.0,46750.0,46980,46990,46950,289596,220550,-5318,
2017-01-13,1703,47110.0,47810.0,47110.0,47400,47500,46990,362068,215618,-4932,
2017-01-16,1703,47420.0,48390.0,47230.0,47950,47900,47500,355334,222522,6904,
2017-01-17,1703,47880.0,48060.0,46540.0,46780,47320,47900,303912,204580,-17942,
2017-01-18,1703,46850.0,47060.0,45930.0,46600,46550,47320,308372,197432,-7148,
2017-01-19,1703,46500.0,46880.0,46290.0,46730,46610,46550,208420,193114,-4318,
2017-01-20,1703,46570.0,46730.0,46000.0,46080,46420,46610,236030,180960,-12154,
2017-01-23,1703,46270.0,47280.0,46140.0,46850,46790,46420,240234,178494,-2466,
2017-01-24,1703,46810.0,47210.0,46500.0,47070,46870,46790,187382,175182,-3312,
2017-01-25,1703,47480.0,47880.0,47370.0,47650,47610,46870,197238,165856,-9326,
2017-01-26,1703,47460.0,48210.0,47450.0,48040,47820,47610,188630,159580,-6276,
2017-02-03,1703,47700.0,47710.0,46520.0,46780,46920,47820,119846,153148,-6432,
2017-02-06,1703,46810.0,46980.0,46300.0,46600,46600,46920,145150,150708,-2440,
2017-02-07,1703,46620.0,47060.0,46560.0,46850,46810,46600,129254,149890,-818,
2017-02-08,1703,46800.0,47690.0,46530.0,47660,47170,46810,185624,152378,2488,
2017-02-09,1703,47580.0,47790.0,47210.0,47410,47530,47170,153138,150610,-1768,
2017-02-10,1704,47620.0,48050.0,47120.0,47820,47570,47680,213852,177982,18694,
2017-02-13,1704,47800.0,50620.0,47780.0,50120,49550,47570,616476,245852,67870,
2017-02-14,1704,49820.0,50250.0,49660.0,50110,49940,49550,347374,265978,20126,
2017-02-15,1704,50090.0,50290.0,48290.0,48740,49120,49940,512812,229176,-36802,
2017-02-16,1704,48740.0,49380.0,48510.0,48680,48970,49120,376604,228912,-264,
2017-02-17,1704,48600.0,48960.0,48170.0,48360,48600,48970,375026,227192,-1720,
2017-02-20,1704,48280.0,48850.0,47950.0,48770,48420,48600,321866,230668,3476,
2017-02-21,1704,48870.0,49350.0,48750.0,48920,49050,48420,295714,227126,-3542,
2017-02-22,1704,48990.0,49210.0,48500.0,48660,48900,49050,269764,221726,-5400,
2017-02-23,1704,48530.0,48990.0,48160.0,48390,48570,48900,287134,218162,-3564,
2017-02-24,1704,48640.0,48700.0,47100.0,47760,47760,48570,410140,200836,-17326,
2017-02-27,1704,47700.0,48310.0,47400.0,47730,47870,47760,324820,191912,-8924,
2017-02-28,1704,47910.0,48090.0,47440.0,47740,47830,47870,282636,188590,-3322,
2017-03-01,1704,47880.0,48800.0,47690.0,48650,48310,47830,339392,191314,2724,
2017-03-02,1704,48780.0,49100.0,48330.0,48690,48710,48310,261336,189942,-1372,
2017-03-03,1704,48450.0,48470.0,47860.0,48280,48150,48710,254492,184934,-5008,
2017-03-06,1704,48130.0,48440.0,47710.0,47890,48150,48150,241164,186286,1352,
2017-03-07,1704,47750.0,47790.0,47380.0,47720,47640,48150,184672,182642,-3644,
2017-03-08,1704,47420.0,47620.0,46910.0,47140,47220,47640,261772,176410,-6232,
2017-03-09,1704,47220.0,47420.0,46310.0,46400,46830,47220,238774,165164,-11246,
2017-03-10,1705,46300.0,46830.0,46140.0,46650,46560,46970,207214,199260,5562,
2017-03-13,1705,46800.0,47560.0,46530.0,47560,47020,46560,328654,202870,3610,
2017-03-14,1705,47500.0,47580.0,47190.0,47360,47360,47020,211346,207094,4224,
2017-03-15,1705,47150.0,47800.0,46820.0,47670,47440,47360,307966,215478,8384,
2017-03-16,1705,47900.0,48250.0,47710.0,48160,47980,47440,291370,218718,3240,
2017-03-17,1705,48270.0,48300.0,47660.0,47740,47940,47980,220262,217374,-1344,
2017-03-20,1705,47960.0,48280.0,47840.0,47980,48060,47940,228262,219224,1850,
2017-03-21,1705,47980.0,48400.0,47030.0,47290,47660,48060,347368,220782,1558,
2017-03-22,1705,47150.0,47500.0,46420.0,46660,46880,47660,321040,225738,4956,
2017-03-23,1705,46730.0,47340.0,46450.0,47120,46960,46880,248072,221334,-4404,
2017-03-24,1705,47120.0,47330.0,46710.0,47100,47010,46960,259020,220374,-960,
2017-03-27,1705,47040.0,47240.0,46050.0,46260,46540,47010,331254,228898,8524,
2017-03-28,1705,46100.0,47020.0,45600.0,46740,46330,46540,401114,213026,-15872,
2017-03-29,1705,46860.0,47690.0,46670.0,47530,47260,46330,318226,211298,-1728,
2017-03-30,1705,47500.0,47810.0,47200.0,47460,47480,47260,263782,203454,-7844,
2017-03-31,1705,47510.0,48390.0,47440.0,47750,47830,47480,393114,194190,-9264,
2017-04-05,1705,47090.0,47650.0,46980.0,47420,47320,47830,148642,189136,-5054,
