"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2025","2,802.03","2,801.37","2,805.11","2,775.01","18.65M","-0.02%"
"09/19/2025","2,802.69","2,819.48","2,819.48","2,790.03","40.81M","-0.24%"
"09/18/2025","2,809.46","2,819.81","2,830.79","2,806.55","21.89M","-0.14%"
"09/17/2025","2,813.42","2,832.89","2,832.89","2,801.47","19.99M","-0.22%"
"09/16/2025","2,819.54","2,876.55","2,876.55","2,815.78","16.66M","-1.63%"
"09/15/2025","2,866.16","2,851.57","2,866.16","2,841.30","18.61M","1.04%"
"09/12/2025","2,836.58","2,864.12","2,869.64","2,833.86","17.92M","-0.67%"
"09/11/2025","2,855.75","2,815.78","2,864.74","2,814.51","19.80M","1.57%"
"09/10/2025","2,811.48","2,818.16","2,825.73","2,762.25","21.10M","-0.88%"
"09/09/2025","2,836.41","2,865.23","2,867.64","2,824.68","17.05M","-0.91%"
"09/08/2025","2,862.51","2,821.04","2,862.87","2,821.04","15.26M","2.05%"
"09/05/2025","2,805.02","2,844.10","2,857.64","2,804.63","19.72M","-0.82%"
"09/04/2025","2,828.22","2,785.56","2,834.41","2,760.33","20.09M","1.51%"
"09/03/2025","2,786.15","2,787.78","2,809.49","2,769.94","23.09M","0.44%"
"09/02/2025","2,774.05","2,776.45","2,781.27","2,725.91","20.98M","0.13%"
"09/01/2025","2,770.36","2,804.98","2,829.71","2,744.94","19.06M","-0.84%"
"08/29/2025","2,793.76","2,834.16","2,836.04","2,789.65","18.97M","-1.22%"
"08/28/2025","2,828.32","2,867.65","2,879.78","2,828.32","16.00M","-0.99%"
"08/27/2025","2,856.56","2,915.79","2,924.24","2,850.34","19.98M","-1.75%"
"08/26/2025","2,907.53","2,896.26","2,920.94","2,865.05","33.18M","0.07%"
"08/25/2025","2,905.64","2,896.60","2,919.49","2,886.85","20.89M","0.87%"
"08/22/2025","2,880.55","2,988.94","2,993.06","2,870.12","51.05M","-4.62%"
"08/21/2025","3,020.22","2,990.57","3,022.46","2,970.96","15.54M","1.27%"
"08/20/2025","2,982.29","2,976.26","2,998.96","2,951.80","16.92M","-0.36%"
"08/19/2025","2,993.07","2,967.48","3,005.67","2,948.48","18.40M","1.05%"
"08/18/2025","2,962.09","2,953.14","2,965.88","2,923.24","27.71M","0.42%"
"08/14/2025","2,949.71","2,974.43","2,974.43","2,926.17","20.17M","-1.58%"
"08/13/2025","2,997.03","3,015.01","3,028.13","2,971.09","27.51M","-0.57%"
"08/12/2025","3,014.18","3,010.16","3,024.23","2,990.85","17.47M","0.66%"
"08/11/2025","2,994.43","3,023.41","3,032.16","2,984.97","17.38M","-0.92%"
"08/08/2025","3,022.19","2,984.72","3,027.75","2,960.04","20.69M","1.23%"
"08/07/2025","2,985.33","2,934.63","3,007.02","2,923.73","28.55M","1.80%"
"08/06/2025","2,932.58","2,878.12","2,933.04","2,872.83","30.80M","2.34%"
