date,usa_sp500,usa_dow_jones,usa_nasdaq_composite,china_csi300,chile_ipsa,peru_bvl_general,germany_dax,japan_nikkei225,india_nifty50,south_korea_kospi,indonesia_jakarta_composite,turkey_bist100,uk_ftse100,hong_kong_hang_seng,australia_asx200,canada_tsx_composite,poland_wig20
2016-12-01,2246.6290457589284,19712.423735119046,5413.116652715774,3386.8245454545454,4174.763333333333,15566.96,11214.89760044643,19066.027436755954,8114.027254971591,2021.6666550409227,5217.684643554688,764.6489091352983,6961.0350341796875,22229.6345703125,5560.39501953125,15254.49501953125,1904.7995238095239
2017-01-01,2275.1159790039064,19908.1525390625,5561.423486328125,3348.9972222222223,4225.779047619048,15983.95,11620.112171519886,19194.056126644737,8386.204659598214,2061.733514404297,5294.857421875,809.8507218794389,7211.357119605655,22814.50308388158,5710.434985351562,15486.576125372023,2022.4509523809525
2017-02-01,2329.9105417351975,20424.14412006579,5764.702097039473,3430.1544444444444,4317.826999999999,15766.12,11745.425,19188.73291015625,8813.339483963815,2082.7949951171877,5370.014879728618,881.1517059326172,7240.429956054688,23725.27470703125,5724.63505859375,15639.705283717105,2163.5325000000003
2017-03-01,2366.822170091712,20823.057999320652,5864.96433423913,3454.5473913043475,4612.575217391304,15757.01,12047.632175611414,19340.177379261364,9047.056773792614,2136.174549449574,5478.665261008523,898.4982618248981,7359.534774116848,24029.634595788044,5772.747855808424,15515.278192934782,2230.8282608695654
2017-04-01,2359.309454666941,20684.693667763157,5912.169484991777,3477.1755555555555,4846.430555555556,15559.3,12232.555555555555,18736.39052734375,9214.572265625,2160.182507324219,5649.74617991728,912.8601501464843,7263.605604383681,24262.704963235294,5878.588235294118,15642.257863898027,2276.932222222222
2017-05-01,2395.345880681818,20936.811257102272,6124.878173828125,3408.803,4848.286363636364,16000.08,12661.0458984375,19726.7564453125,9436.98641690341,2301.890008223684,5692.100830078125,958.8383876255581,7422.652390252976,25189.4240234375,5815.017365828804,15486.840997869318,2345.615238095238
2017-06-01,2433.98545143821,21317.795365767044,6224.285888671875,3571.925,4827.261428571429,16132.87,12710.548642113095,20045.627574573864,9606.954799107143,2372.2042875744046,5744.550130208333,990.7763031005859,7463.97265625,25828.223277698864,5737.804803757441,15308.82266512784,2311.762380952381
2017-07-01,2454.102502441406,21581.2509765625,6294.6740234375,3690.343333333333,4969.148571428571,16750.17,12397.47084263393,20044.862109375,9850.118954613095,2412.8990652901784,5821.848446800595,1046.749000186012,7395.847586495535,26326.01878720238,5732.476143973215,15153.55,2337.8042857142855
2017-08-01,2456.2230702275815,21914.076936141304,6311.397397248641,3747.0208695652173,5114.356818181818,17616.44,12153.80519701087,19670.16912286932,9901.183407738095,2372.1845370205965,5844.486328125,1083.8433227539062,7409.186368075284,27532.433682528408,5738.017429517663,15108.950017755682,2413.5468181818183
2017-09-01,2492.8410400390626,22173.41396484375,6428.0789794921875,3834.191904761905,5204.24,18087.42,12479.53380766369,19924.39853515625,9977.916666666666,2371.00048828125,5865.2312654194075,1061.729158100329,7334.6523670014885,27790.841889880954,5698.6150390625,15284.460009765626,2487.7114285714288
2017-10-01,2556.9972700639205,23036.237393465908,6603.011341441761,3943.3311764705886,5489.8935,19874.12,13012.0775390625,21267.490420386905,10138.677490234375,2482.8712463378906,5941.404030539773,1061.604863947088,7508.177268288352,28394.398046875,5821.74092240767,15825.97619047619,2491.010909090909
2017-11-01,2593.605736142113,23557.92940848214,6796.045224144345,4081.1672727272726,5264.5142857142855,19722.18,13159.374556107954,22525.14853515625,10324.754527698864,2533.5099875710225,6038.162131569602,1078.47431529652,7441.236394708807,29213.66716974432,5977.649946732955,16032.327192826704,2473.6804761904764
2017-12-01,2664.34052734375,24545.3841796875,6889.740454101562,4023.7966666666666,5269.183684210527,19974.38,13079.901572779605,22769.89090401786,10322.262548828125,2467.467787000868,6112.27197265625,1093.6417358398437,7481.752646998355,29109.614309210527,6023.4947317023025,16092.826223273027,2430.1573684210525
2018-01-01,2789.8038155691966,25804.017764136905,7279.498046875,4246.925454545454,5733.896818181818,21068.89,13270.667302911932,23712.210012335527,10787.135788690477,2520.9377219460225,6465.086869673295,1167.9209594726562,7695.636341441761,31831.893199573864,6060.147600446428,16272.463734019886,2566.247619047619
2018-02-01,2705.1552477384867,24981.545230263157,7161.7726408305925,4064.061333333333,5666.536,20831.78,12459.3640625,21991.681949013157,10533.105263157895,2439.104451497396,6585.651649876645,1162.4865417480469,7255.909985351563,30969.2744140625,5944.965014648437,15430.631630345395,2427.7625
2018-03-01,2702.7738211495534,24582.170386904763,7311.506696428572,4017.495,5552.724761904762,20558.84,12165.93908110119,21395.507626488095,10232.618472450658,2451.570021856399,6355.085332961309,1166.785272771662,7090.085704985119,30898.113746279763,5913.533296130952,15490.395182291666,2300.162857142857
2018-04-01,2653.6252092633927,24304.212890625,7084.142345610119,3829.991111111111,5633.100476190476,21428.86,12411.59755859375,21868.7876953125,10472.933268229166,2458.2247605096727,6215.511602492559,1108.308349609375,7288.219970703125,30376.019428453947,5851.5,15380.423828125,2279.192
2018-05-01,2701.4936190518465,24572.5322265625,7339.327281605114,3848.3522727272725,5630.447619047619,20814.29,12911.162295386905,22590.054501488095,10664.447709517046,2461.300500488281,5883.804272460938,1024.9097650701349,7690.228608630952,30698.67810639881,6065.68259595788,15964.39990234375,2248.429
2018-06-01,2754.3528878348216,24790.108351934523,7645.138532366072,3686.8165,5433.80380952381,19800.26,12667.554268973214,22562.875093005954,10742.973818824405,2394.5078895970396,5903.128493088942,958.737548828125,7656.933244977678,30070.3201171875,6108.84501953125,16253.252371651786,2191.7861904761908
2018-07-01,2793.643357049851,24978.231305803572,7756.863862537202,3465.7263636363637,5353.082,20485.72,12581.671830610796,22322.163174715908,10991.15682705966,2284.253651012074,5866.612127130682,946.2768637917259,7651.077215021307,28466.138485863095,6247.213645241477,16432.56189546131,2194.254090909091
2018-08-01,2857.8204292629075,25629.98828125,7892.233462126359,3342.6313043478262,5292.854090909091,19443.11,12458.920813519022,22494.141474184784,11498.440476190477,2283.7968195134945,5984.440173921131,933.5462816026476,7605.609108664773,27925.753566576088,6289.36521314538,16332.427201704546,2302.7254545454543
2018-09-01,2901.5005139802633,26232.66796875,7983.307411595395,3305.593684210526,5289.404444444444,19564.07,12185.244970703125,23159.290907118055,11297.058322482639,2307.325870289522,5870.367213199013,954.8095489501953,7385.915014648437,27275.605674342107,6189.219995117188,16125.610402960527,2270.5125
2018-10-01,2785.4647800611415,25609.34188179348,7527.083899456522,3168.4366666666665,5185.599999999999,18909.4,11659.083629261364,22690.781338778408,10383.809477306548,2153.4766961960568,5798.111582880435,953.3003623268821,7137.034774116848,25705.361514136905,5938.04347826087,15441.172674005682,2194.866956521739
2018-11-01,2723.231422061012,25258.675316220237,7236.081449962798,3208.5477272727276,5159.1425,19180.97,11359.62508877841,21967.871930803572,10621.792529296876,2083.333185369318,5950.356119791667,936.3946838378906,7040.81815962358,26080.98908025568,5775.977272727273,15144.004572088068,2228.939
2018-12-01,2567.3073858963817,23805.545230263157,6814.2916067023025,3127.0465,5101.374210526315,19350.4,10834.544692095587,21032.417763157893,10778.442529296875,2070.128970497533,6137.164767795139,918.9298492431641,6790.900030838816,26075.627878289473,5617.410516036184,14546.799958881578,2293.63
2019-01-01,2607.3899972098216,24157.795107886905,6979.655715215774,3112.8786363636364,5345.953181818182,20190.87,10968.887340198864,20460.512232730263,10804.88858309659,2101.9841142134233,6383.264626242898,959.4067660245029,6861.590931285511,26711.562943892044,5795.576218377976,15031.88623046875,2349.4304545454547
2019-02-01,2754.8642064144738,25605.526829769737,7430.077354029605,3472.2746666666667,5412.663,20614.45,11280.836474609376,21123.640727796053,10835.955283717105,2210.1988166360293,6492.388543379934,1029.6566986083985,7147.315087890625,28392.37143841912,6075.6349609375,15811.205335115132,2358.995
2019-03-01,2803.9837937127977,25722.621186755954,7629.366652715774,3776.5033333333336,5258.998571428571,21098.07,11542.59193638393,21414.884375,11300.205620659723,2161.914514160156,6450.892651367188,1009.2583908807663,7204.561918712798,28900.017020089286,6183.157180059524,16119.561848958334,2324.508095238095
